NOM;CODI;DATA_INI;DATA_FI;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
ALT PIRINEU I ARAN;71;2021-10-03;2021-10-09;92.6859;1.12376;81.5217;41.4759;29;1454.5194;568;449;3.5880;4;1;0;16;13;18;13;473;391;162;204
ALT PIRINEU I ARAN;71;2021-10-02;2021-10-08;99.0164;1.24417;78.6613;45.7665;32;1633.2951;700;442;3.3827;4;1;0;21;11;22;10;556;390;161;203
ALT PIRINEU I ARAN;71;2021-10-01;2021-10-07;113.316;1.45021;77.2311;47.1967;33;1690.5034;747;435;3.3708;4;1;0;22;11;22;11;597;382;155;185
ALT PIRINEU I ARAN;71;2021-09-30;2021-10-06;114.04;1.40735;80.0915;44.3363;31;1853.5469;864;432;2.9108;4;1;0;21;10;20;11;688;377;162;228
ALT PIRINEU I ARAN;71;2021-09-29;2021-10-05;100.983;1.36839;72.9405;37.1853;26;1790.6178;832;420;2.4319;2;0;0;16;10;15;10;661;367;141;180
ALT PIRINEU I ARAN;71;2021-09-28;2021-10-04;95.0055;1.39696;67.2196;37.1853;26;1983.6956;988;399;2.3277;1;0;0;14;12;14;12;779;338;163;225
ALT PIRINEU I ARAN;71;2021-09-27;2021-10-03;113.779;1.78707;62.9290;42.9061;30;2142.4485;1072;426;2.3064;1;0;0;19;11;18;10;849;365;165;239
ALT PIRINEU I ARAN;71;2021-09-26;2021-10-02;119.341;1.91803;61.4988;40.0457;28;2109.5537;1063;412;2.2538;1;0;0;19;9;18;9;844;354;165;240
ALT PIRINEU I ARAN;71;2021-09-25;2021-10-01;126.37;2.18333;57.2082;32.8947;23;1949.3707;941;422;1.9417;1;0;0;14;9;13;9;769;364;167;240
ALT PIRINEU I ARAN;71;2021-09-24;2021-09-30;112.617;2.1619;51.4874;30.0343;21;1940.7894;931;426;1.9538;1;0;0;13;8;14;8;756;370;206;278
ALT PIRINEU I ARAN;71;2021-09-23;2021-09-29;113.795;2.24694;50.0572;35.7551;25;1754.8627;797;430;2.3144;1;0;0;16;9;16;8;655;382;202;299
ALT PIRINEU I ARAN;71;2021-09-22;2021-09-28;111.731;2.1449;51.4874;35.7551;25;1709.0961;764;431;2.4728;1;0;0;16;9;16;9;629;382;242;347
ALT PIRINEU I ARAN;71;2021-09-21;2021-09-27;98.8471;2.00918;48.6270;30.0343;21;1506.0068;633;420;2.2173;0;0;0;14;7;13;7;523;379;253;332
ALT PIRINEU I ARAN;71;2021-09-20;2021-09-26;67.8387;1.56276;42.9061;20.0228;14;1344.3935;567;373;1.7157;0;0;0;9;5;9;5;482;334;266;333
ALT PIRINEU I ARAN;71;2021-09-19;2021-09-25;61.861;1.37908;44.3363;21.4530;15;1364.4164;568;386;1.8270;0;0;0;10;5;10;5;484;337;266;333
ALT PIRINEU I ARAN;71;2021-09-18;2021-09-24;46.7629;0.95051;48.6270;24.3135;17;1483.1235;666;371;1.9722;0;0;0;10;7;10;7;543;319;266;334
ALT PIRINEU I ARAN;71;2021-09-17;2021-09-23;34.473;0.721939;47.1967;21.4530;15;1445.9382;664;347;1.7986;1;0;0;8;7;8;7;540;294;279;350
ALT PIRINEU I ARAN;71;2021-09-16;2021-09-22;25.6238;0.708333;35.7551;14.3020;10;1787.7574;921;329;1.0945;1;0;0;4;6;5;6;733;272;288;303
ALT PIRINEU I ARAN;71;2021-09-15;2021-09-21;34.4829;0.953231;35.7551;15.7322;11;1813.5011;950;318;1.1788;2;0;0;5;6;6;6;753;265;290;293
ALT PIRINEU I ARAN;71;2021-09-14;2021-09-20;45.6134;1.16752;38.6155;18.5926;13;1913.6155;1034;304;1.3928;2;0;0;8;5;10;5;823;254;303;319
ALT PIRINEU I ARAN;71;2021-09-13;2021-09-19;54.5574;1.2568;42.9061;22.8832;16;1990.8466;1105;287;1.7288;3;0;0;11;5;14;5;867;232;307;366
ALT PIRINEU I ARAN;71;2021-09-12;2021-09-18;55.4507;1.32143;41.4759;22.8832;16;1957.9519;1101;268;1.7544;3;0;0;11;5;14;5;861;222;317;377
ALT PIRINEU I ARAN;71;2021-09-11;2021-09-17;56.4326;1.39286;40.0457;24.3135;17;1936.4988;1089;265;1.7807;3;0;1;13;4;15;4;848;219;317;376
ALT PIRINEU I ARAN;71;2021-09-10;2021-09-16;61.6595;1.33163;45.7665;25.7437;18;1923.6270;1056;289;1.7807;2;0;1;13;5;14;5;822;245;330;440
ALT PIRINEU I ARAN;71;2021-09-09;2021-09-15;52.6379;1.21259;42.9061;21.4530;15;1608.9816;855;270;1.7998;2;0;1;12;3;13;3;657;232;396;525
ALT PIRINEU I ARAN;71;2021-09-08;2021-09-14;48.2379;1.0102;47.1967;20.0228;14;1587.5286;850;260;1.7222;2;0;1;12;2;13;2;653;218;390;519
ALT PIRINEU I ARAN;71;2021-09-07;2021-09-13;42.4466;0.838126;50.0572;20.0228;14;1671.9107;924;245;1.4381;2;0;1;12;2;11;2;703;201;438;546
ALT PIRINEU I ARAN;71;2021-09-06;2021-09-12;39.2633;0.733364;52.9176;20.0228;14;1667.6201;895;271;1.4286;2;0;1;10;4;8;5;677;233;493;537
ALT PIRINEU I ARAN;71;2021-09-05;2021-09-11;35.2073;0.657607;52.9176;18.5926;13;1677.6315;893;280;1.4192;2;0;1;9;4;8;5;676;240;484;525
ALT PIRINEU I ARAN;71;2021-09-04;2021-09-10;30.535;0.586178;51.4874;15.7322;11;1661.8993;885;277;1.3187;2;0;0;7;4;7;5;672;238;483;527
ALT PIRINEU I ARAN;71;2021-09-03;2021-09-09;39.2219;0.695022;55.7780;20.0228;14;1651.8878;896;259;1.6611;2;0;0;8;6;9;6;683;220;486;613
ALT PIRINEU I ARAN;71;2021-09-02;2021-09-08;46.5799;0.76645;60.0686;21.4530;15;2009.4393;1118;287;1.6290;2;0;0;8;7;10;8;862;243;514;653
ALT PIRINEU I ARAN;71;2021-09-01;2021-09-07;55.6573;0.836178;65.7894;27.1739;19;2039.4736;1132;294;1.7730;1;1;0;10;9;11;9;874;254;556;933
ALT PIRINEU I ARAN;71;2021-08-31;2021-09-06;62.4389;0.863018;71.5102;30.0343;21;1942.2196;994;364;2.1938;2;1;0;11;10;14;10;777;317;532;963
ALT PIRINEU I ARAN;71;2021-08-30;2021-09-05;66.1476;0.896351;72.9405;32.8947;23;2058.0663;1054;385;2.0833;1;1;0;14;9;16;8;824;328;499;1081
ALT PIRINEU I ARAN;71;2021-08-29;2021-09-04;70.9222;0.891156;78.6613;34.3249;24;2056.6361;1054;384;2.0851;1;1;0;14;10;15;9;824;327;498;1081
ALT PIRINEU I ARAN;71;2021-08-28;2021-09-03;74.2038;0.869178;84.3821;35.7551;25;2050.9153;1047;387;2.1664;1;1;0;14;11;15;10;824;330;499;1083
ALT PIRINEU I ARAN;71;2021-08-27;2021-09-02;70.8568;0.789813;88.6727;35.7551;25;2178.2036;1087;436;2.2838;1;2;0;14;11;16;12;860;366;490;1427
ALT PIRINEU I ARAN;71;2021-08-26;2021-09-01;71.1857;0.780885;90.1029;38.6155;27;1925.0572;906;440;2.4658;1;2;0;16;11;17;10;723;372;444;1584
ALT PIRINEU I ARAN;71;2021-08-25;2021-08-31;70.9929;0.754808;92.9633;38.6155;27;1903.6041;879;452;2.7778;2;1;0;15;12;18;12;699;381;423;1541
ALT PIRINEU I ARAN;71;2021-08-24;2021-08-30;75.5357;0.803107;92.9633;41.4759;29;1953.6613;935;431;2.7298;2;1;0;16;13;17;13;739;360;472;1631
ALT PIRINEU I ARAN;71;2021-08-23;2021-08-29;80.4111;0.829423;95.8237;40.0457;28;1903.6041;899;432;2.8810;2;1;0;13;15;15;16;707;369;512;1548
ALT PIRINEU I ARAN;71;2021-08-22;2021-08-28;91.2779;0.941511;95.8237;44.3363;31;1926.4874;910;437;3.3149;3;1;0;15;16;18;18;714;372;512;1550
